user_id,age,gender,language,login_time,character,c_type,mode,ranking
45,30,Male,Bulgarian,1410,Genji,Damage,CTF,1457
46,23,Male,Chinese,728,Widowmaker,Tank,Solo,972
47,17,Other,Albanian,579,Symmetra,Healer,Quick,1743
48,24,Male,Latvian,544,Baptiste,Tank,3VS3,1433
49,29,Male,Portuguese,1265,Symmetra,Damage,Mayhem,1244
50,28,Female,Ganda,314,Doomfist,Healer,3VS3,2197
51,23,Male,Bulgarian,495,Genji,Damage,Mayhem,795
52,37,Male,English,513,Mercy,Healer,Ranked,1512
53,14,Male,Macedonian,909,Roadhog,Tank,Quick,1586
54,28,Female,Icelandic,1084,Junkrat,Healer,Ranked,1157
55,35,Male,Ukrainian,631,Baptiste,Tank,Quick,3245
56,27,Other,French,868,Sombra,Damage,Mayhem,2450
57,25,Male,Thai,280,Pharah,Healer,Solo,1835
58,29,Male,Norwegian,808,Reinhardt,Damage,Quick,1842
59,31,Male,Mongolian,1122,Symmetra,Damage,Quick,1736
60,26,Female,Bulgarian,1373,Junkrat,Damage,CTF,1605
61,30,Male,German,8,Reinhardt,Tank,Quick,2197
62,28,Male,Icelandic,105,Genji,Tank,Ranked,2596
63,28,Male,Indonesian,885,Reaper,Healer,Ranked,1411
64,29,Male,Hebrew,260,Winston,Tank,3VS3,2716
65,20,Male,Dutch,591,Symmetra,Healer,Ranked,1883
66,28,Male,Korean,21,Hanzo,Healer,Quick,1548
67,29,Male,Kuanyama,779,Symmetra,Healer,CTF,1306
68,17,Female,Irish,183,Orisa,Damage,Ranked,1116
69,29,Female,Slovenian,941,Genji,Healer,Mayhem,1001
70,19,Male,Norwegian,40,McCree,Damage,Mayhem,1468
71,32,Other,Irish,248,Soldier,Damage,CTF,1828
72,37,Female,Romanian,335,Zarya,Tank,3VS3,1750
73,33,Male,Italian,1429,Hanzo,Damage,3VS3,1458
74,15,Female,Malagasy,1199,Baptiste,Damage,Mayhem,2090
75,22,Male,Belarusian,1207,Genji,Tank,CTF,1922
76,19,Male,Latvian,55,Torbjorn,Tank,3VS3,1257
77,32,Male,Spanish,1048,Tracer,Healer,Quick,604
78,28,Male,German,1074,Doomfist,Damage,3VS3,959
79,26,Male,Norwegian,434,Widowmaker,Damage,Ranked,1240
80,31,Male,Estonian,1343,Tracer,Healer,CTF,2317
81,27,Male,Ukrainian,632,Baptiste,Healer,Quick,464
82,27,Other,Hindi,295,Soldier,Healer,Ranked,1704
83,31,Female,Greek,98,Mercy,Tank,Solo,1681
84,24,Male,Norwegian,1134,Moira,Tank,Mayhem,1354
85,23,Male,Arabic,1393,Sombra,Healer,Ranked,1924
86,25,Female,Vietnamese,1138,Ana,Tank,CTF,2823
87,25,Male,Greek,715,Bastion,Tank,3VS3,1673
88,31,Male,French,465,Baptiste,Tank,Quick,1626
89,30,Other,Mongolian,560,Sombra,Tank,Quick,2330
90,23,Male,Ganda,630,Hanzo,Healer,Ranked,1582
91,16,Male,Indonesian,851,Genji,Tank,Quick,1727
92,19,Male,Estonian,434,Ana,Damage,Solo,1250
93,29,Male,Hindi,1438,Reinhardt,Tank,Quick,2123
94,23,Male,Hebrew,741,Zarya,Tank,Solo,1752
95,25,Female,Estonian,1343,Echo,Healer,Quick,1671
96,23,Female,Hebrew,269,Pharah,Healer,Ranked,1027
97,32,Other,Arabic,334,Ana,Damage,Ranked,2187
98,27,Male,Hindi,1304,Sombra,Damage,3VS3,2116
99,26,Male,French,960,Junkrat,Damage,CTF,854
100,20,Female,Greek,1207,Brigitte,Healer,Quick,1999
101,23,Female,Mongolian,455,Pharah,Damage,Quick,2216
102,27,Female,Ganda,616,McCree,Healer,Mayhem,1016
103,21,Male,Portuguese,639,Sombra,Healer,Quick,1858
104,36,Male,Hungarian,1428,Hanzo,Damage,Mayhem,1248
105,32,Male,Ukrainian,315,Reaper,Damage,Ranked,1630
106,18,Male,Lithuanian,1391,Sigma,Damage,3VS3,763
107,25,Female,Polish,705,Reaper,Damage,Solo,2155
108,28,Male,Armenian,466,Orisa,Healer,Quick,1436
109,24,Male,Korean,17,Soldier,Tank,Solo,2027
110,27,Male,Catalan,255,Orisa,Tank,CTF,2406
111,23,Male,Italian,300,Zarya,Damage,Quick,2484
112,29,Male,Serbian,1240,Wrecking,Tank,CTF,1668
113,18,Male,Albanian,63,Doomfist,Damage,Mayhem,1603
114,26,Male,Polish,116,Reaper,Tank,3VS3,1434
115,24,Female,Thai,1259,Ana,Damage,Solo,1076
116,24,Male,Macedonian,1317,Soldier,Tank,Ranked,1727
117,24,Male,Lithuanian,955,Orisa,Healer,Quick,809
118,27,Female,Greek,203,Ashe,Tank,Quick,1530
119,19,Male,Thai,640,McCree,Damage,Solo,1341
120,18,Male,French,865,Reinhardt,Healer,3VS3,2034
121,34,Male,Belarusian,551,Sigma,Tank,CTF,1919
122,19,Male,Yoruba,348,Widowmaker,Healer,3VS3,2626
123,27,Male,Finnish,1422,Zarya,Healer,Ranked,1959
124,18,Male,Japanese,242,D.Va,Tank,Mayhem,1777
125,19,Male,Japanese,455,Reinhardt,Damage,Quick,717
126,31,Male,Polish,1436,Mei,Damage,CTF,1161
127,27,Female,Latvian,471,Reinhardt,Damage,Mayhem,1883
128,29,Male,Albanian,268,Soldier,Damage,Quick,1699
129,18,Male,Turkish,547,Mercy,Healer,CTF,2336
130,34,Female,Albanian,648,McCree,Tank,Solo,1568
131,30,Male,Indonesian,656,Ana,Tank,Solo,2248
132,26,Female,Yoruba,1422,D.Va,Damage,3VS3,2043
133,29,Female,English,358,Sigma,Tank,3VS3,2842
134,35,Male,English,1252,Baptiste,Tank,Solo,2534
135,27,Male,Italian,1104,Reinhardt,Damage,Solo,1218
136,32,Female,Hindi,697,Tracer,Tank,Ranked,1215
137,20,Male,French,665,Widowmaker,Damage,Mayhem,1320
138,29,Male,Arabic,1318,Moira,Healer,Quick,1911
139,38,Male,Irish,1084,Echo,Damage,3VS3,2047
140,26,Male,Polish,575,Doomfist,Tank,Solo,1399
141,22,Male,Bosnian,264,Baptiste,Damage,3VS3,2271
142,31,Female,Hungarian,442,Junkrat,Tank,Solo,1686
143,33,Male,Maltese,736,Orisa,Damage,Mayhem,1258
144,36,Other,Bosnian,833,Baptiste,Damage,3VS3,1388
145,33,Other,Ganda,310,Ashe,Tank,3VS3,1835
146,22,Female,Albanian,560,Symmetra,Healer,3VS3,3069
147,29,Male,Greek,224,Junkrat,Tank,3VS3,2426
148,26,Other,Irish,706,Roadhog,Healer,CTF,1899
149,22,Male,Macedonian,593,Moira,Tank,Quick,2337
150,26,Female,French,734,Orisa,Tank,Mayhem,1670
151,30,Female,Bulgarian,546,Torbjorn,Tank,Ranked,1749
152,30,Male,Turkish,668,Genji,Tank,Ranked,1443
153,22,Male,Arabic,262,Ashe,Damage,CTF,2160
154,22,Female,Hungarian,1138,Hanzo,Healer,Solo,1948
155,34,Male,Irish,310,Lucio,Damage,Mayhem,2055
156,24,Female,Latvian,246,Reinhardt,Damage,Solo,1321
157,23,Male,Mongolian,1097,Mei,Healer,Mayhem,2286
158,26,Male,Norwegian,831,Doomfist,Damage,Solo,1661
159,33,Male,Romanian,970,McCree,Damage,Mayhem,1825
160,34,Male,Latvian,105,Sigma,Healer,Quick,1184
161,45,Other,Vietnamese,1367,Soldier,Damage,CTF,2019
162,18,Female,Dutch,1113,Brigitte,Damage,Quick,2801
163,19,Male,Bulgarian,968,Sombra,Healer,CTF,1917
164,23,Other,Swedish,44,Lucio,Damage,Mayhem,1221
165,16,Male,Marshallese,1259,Wrecking,Tank,Mayhem,1182
166,30,Male,Slovenian,677,Mei,Healer,Quick,1941
167,21,Male,Afrikaans,1048,D.Va,Tank,Quick,2710
168,25,Male,Finnish,269,Zarya,Tank,Solo,1742
169,31,Male,Malagasy,678,Zarya,Healer,CTF,1597
170,23,Female,Albanian,88,Widowmaker,Healer,Solo,2890
171,22,Male,Swedish,126,McCree,Tank,3VS3,1225
172,20,Male,Romanian,1177,Baptiste,Damage,CTF,1442
173,18,Male,Indonesian,319,Orisa,Tank,Ranked,2368
174,27,Other,Maltese,229,Orisa,Healer,Solo,2757
175,20,Other,Hungarian,758,Moira,Tank,Mayhem,1252
176,26,Male,Albanian,1106,Brigitte,Healer,Mayhem,2044
177,19,Male,Catalan,1288,Ashe,Damage,Solo,2558
178,29,Other,Bulgarian,1081,Mei,Tank,3VS3,1487
179,25,Male,Vietnamese,629,Pharah,Healer,Quick,2339
180,23,Male,Latvian,1396,Zarya,Damage,CTF,889
181,30,Other,Finnish,926,Zenyatta,Tank,Mayhem,1629
182,18,Male,Macedonian,1241,Winston,Healer,CTF,2248
183,23,Male,Arabic,221,Baptiste,Healer,Quick,1738
184,22,Male,Irish,713,Reinhardt,Tank,Ranked,2004
185,17,Male,Spanish,208,Reinhardt,Damage,Ranked,2406
186,16,Female,Thai,522,Roadhog,Healer,Ranked,1082
187,27,Male,Russian,1345,Sigma,Healer,Solo,961
188,13,Male,Czech,741,Ana,Healer,Mayhem,1320
189,17,Male,Dutch,1260,Wrecking,Healer,3VS3,1357
190,20,Other,Macedonian,219,Bastion,Healer,CTF,1410
191,23,Male,Norwegian,1085,Brigitte,Damage,Quick,1249
192,29,Male,Greek,1055,Ana,Healer,Quick,948
193,21,Male,Finnish,422,Ashe,Healer,Ranked,1503
194,34,Male,Thai,442,Brigitte,Healer,CTF,1053
195,44,Male,Polish,1232,Doomfist,Tank,Mayhem,2363
196,30,Female,Albanian,11,Symmetra,Tank,Mayhem,2626
197,31,Male,Lithuanian,1145,Hanzo,Damage,CTF,2452
198,25,Male,Albanian,788,McCree,Damage,Ranked,1591
199,14,Male,Arabic,642,Baptiste,Damage,Solo,1851
200,25,Other,Turkish,665,Ana,Healer,Solo,1279
201,28,Male,Irish,432,Doomfist,Tank,Ranked,1888
202,34,Female,Portuguese,1196,Widowmaker,Damage,Quick,1137
203,21,Male,Arabic,1144,Hanzo,Healer,3VS3,223
204,30,Female,Serbian,1137,Sigma,Damage,3VS3,971
205,23,Female,Hungarian,48,Ana,Damage,Ranked,1630
206,23,Male,Turkish,359,Widowmaker,Damage,3VS3,1274
207,31,Male,Malagasy,757,Bastion,Damage,Solo,1561
208,25,Male,Maltese,154,Doomfist,Damage,3VS3,1567
209,18,Male,Greek,1262,Roadhog,Healer,Ranked,1342
210,32,Female,Icelandic,1056,Reaper,Tank,3VS3,2161
211,27,Male,Croatian,100,Zenyatta,Healer,Mayhem,1651
212,21,Male,Hebrew,211,Lucio,Tank,Solo,1528
213,28,Male,Irish,955,Widowmaker,Damage,Ranked,2188
214,28,Female,Irish,874,McCree,Tank,3VS3,1982
215,28,Male,Latvian,810,Tracer,Healer,Ranked,1917
216,18,Male,Estonian,491,Bastion,Healer,CTF,2116
217,26,Male,Croatian,1111,Roadhog,Healer,Quick,550
218,27,Female,Russian,739,Mercy,Healer,CTF,1444
219,21,Female,Romanian,825,Sombra,Damage,Mayhem,2647
220,19,Male,Russian,0,Reinhardt,Damage,CTF,2227
221,34,Female,Catalan,547,D.Va,Healer,CTF,1417
222,37,Female,Estonian,320,Wrecking,Healer,3VS3,1494
223,28,Female,Korean,127,D.Va,Healer,CTF,2794
224,25,Male,Norwegian,1296,Torbjorn,Healer,Mayhem,750
225,24,Other,Marshallese,837,Genji,Damage,Mayhem,2177
226,30,Male,Croatian,713,Moira,Damage,Quick,1033
227,27,Male,English,1432,Reaper,Tank,CTF,1266
228,33,Male,Maltese,107,Orisa,Tank,CTF,1106
229,15,Male,Korean,508,Brigitte,Tank,Quick,1356
230,30,Male,Indonesian,36,Bastion,Tank,CTF,1049
231,25,Male,Korean,935,Pharah,Tank,Ranked,1349
232,30,Male,Mongolian,941,Tracer,Damage,Quick,2395
233,30,Female,Afrikaans,1388,Ashe,Damage,Ranked,1592
234,25,Female,Spanish,956,Echo,Damage,Solo,1990
235,25,Male,Japanese,362,Baptiste,Tank,Quick,2800
236,31,Female,Japanese,781,Bastion,Damage,Ranked,2074
237,20,Female,Ganda,389,Widowmaker,Healer,Quick,2131
238,18,Female,Danish,444,Mei,Healer,Mayhem,1106
239,35,Male,Norwegian,1311,Mercy,Healer,Ranked,2414
240,17,Male,Norwegian,982,Junkrat,Healer,Ranked,1612
241,23,Other,Norwegian,888,Sigma,Damage,Mayhem,2016
242,28,Male,Dutch,1280,Doomfist,Tank,Quick,2113
243,32,Male,Thai,112,Reinhardt,Tank,CTF,2029
244,37,Other,Irish,1241,Orisa,Damage,Quick,1809
245,23,Female,Vietnamese,1370,McCree,Tank,CTF,1748
246,14,Male,Bulgarian,649,Ana,Tank,3VS3,1607
247,28,Female,Thai,501,Wrecking,Tank,Ranked,1731
248,38,Male,Indonesian,33,Zenyatta,Tank,Ranked,3063
249,40,Male,Polish,1032,Symmetra,Tank,Solo,1826
250,23,Male,Danish,584,Wrecking,Healer,3VS3,2144
251,26,Male,Danish,744,Roadhog,Damage,3VS3,2337
252,27,Male,Marshallese,1403,McCree,Damage,Solo,1897
253,24,Other,Hindi,1222,Zarya,Damage,3VS3,1821
254,41,Other,Polish,539,Roadhog,Tank,Quick,1939
255,23,Male,German,1395,Mei,Tank,Mayhem,1109
256,23,Male,Bosnian,1437,Roadhog,Damage,CTF,921
257,29,Female,Yoruba,60,Widowmaker,Tank,Quick,2317
258,23,Male,Hebrew,1071,Mercy,Damage,Quick,963
259,26,Female,Ukrainian,920,Bastion,Damage,Quick,2456
260,20,Other,Bosnian,775,Bastion,Damage,Solo,2528
261,11,Other,Lithuanian,1419,Pharah,Healer,Ranked,1577
262,22,Female,Maltese,644,Lucio,Tank,Solo,1438
263,26,Other,Marshallese,1154,Widowmaker,Healer,Mayhem,2024
264,32,Male,Yoruba,1131,McCree,Healer,3VS3,2425
265,20,Male,Polish,963,Torbjorn,Damage,CTF,1478
266,23,Other,French,494,Doomfist,Healer,CTF,2062
267,24,Female,Marshallese,1366,D.Va,Healer,3VS3,1817
268,14,Female,Hebrew,1400,Baptiste,Healer,Quick,1669
269,15,Male,Kuanyama,770,Soldier,Damage,Mayhem,1231
270,30,Male,Thai,28,Reinhardt,Damage,CTF,2411
271,32,Male,Latvian,344,D.Va,Healer,3VS3,1186
272,37,Other,Chinese,34,Winston,Damage,Solo,1892
273,18,Male,Macedonian,558,Zarya,Damage,Ranked,1716
274,27,Female,Bosnian,307,Torbjorn,Tank,Ranked,1558
275,27,Male,Swedish,883,Orisa,Damage,Solo,1942
276,22,Male,Icelandic,852,Echo,Tank,3VS3,1209
277,22,Male,Polish,1156,Reinhardt,Damage,Mayhem,1514
278,37,Female,Swedish,59,Winston,Healer,Mayhem,1680
279,37,Male,Yoruba,1267,Mei,Tank,Mayhem,1772
280,32,Male,Danish,738,Orisa,Damage,CTF,2190
281,23,Female,Slovenian,658,McCree,Tank,Quick,1373
282,33,Female,Japanese,1196,Torbjorn,Damage,Ranked,1518
283,22,Male,Bosnian,937,Moira,Damage,Quick,1887
284,38,Male,Polish,764,Bastion,Tank,Mayhem,2425
285,24,Male,Kuanyama,867,McCree,Healer,Ranked,2762
286,31,Male,Maltese,329,Ana,Healer,Solo,2299
287,24,Male,Bulgarian,1237,D.Va,Healer,CTF,1759
288,21,Male,Belarusian,68,Soldier,Tank,Mayhem,1260
289,18,Male,Arabic,583,Zarya,Healer,Ranked,1129
290,28,Female,Icelandic,1320,Widowmaker,Healer,3VS3,1392
291,32,Male,Ukrainian,1330,D.Va,Tank,Solo,2129
292,23,Female,Chinese,1268,Wrecking,Healer,Mayhem,1022
293,20,Male,Bulgarian,1138,Zenyatta,Healer,Mayhem,1119
294,19,Female,Romanian,1265,Brigitte,Damage,CTF,1696
295,23,Other,Romanian,747,Zenyatta,Tank,Mayhem,2630
296,24,Male,Hebrew,1336,McCree,Damage,Ranked,927
297,31,Female,Italian,893,Wrecking,Damage,Quick,1724
298,31,Female,Turkish,1106,Hanzo,Damage,3VS3,1471
299,21,Male,Czech,64,Bastion,Tank,Ranked,1353
300,28,Female,Yoruba,60,Genji,Healer,Ranked,1734
301,34,Male,Thai,388,Baptiste,Damage,Mayhem,1325
302,16,Male,French,1130,Ana,Healer,Ranked,1655
303,31,Male,Ukrainian,445,Sombra,Healer,Quick,2450
304,31,Male,Malagasy,81,Moira,Damage,Quick,1799
305,41,Male,Macedonian,493,Roadhog,Damage,Ranked,2593
306,25,Female,Romanian,463,Bastion,Damage,Ranked,1656
307,30,Male,Hebrew,42,Winston,Damage,Solo,1487
308,16,Other,Norwegian,1408,Torbjorn,Tank,Mayhem,1290
309,26,Male,Serbian,171,Ana,Tank,3VS3,1466
310,29,Female,Italian,318,Roadhog,Damage,Quick,478
311,27,Male,Slovenian,320,Roadhog,Damage,Solo,2291
312,33,Female,Japanese,640,Reinhardt,Damage,3VS3,1267
313,19,Male,Arabic,21,Genji,Tank,Quick,1262
314,24,Male,Spanish,1136,Pharah,Tank,CTF,861
315,24,Male,Yoruba,1107,Ashe,Healer,Mayhem,2393
316,25,Male,Icelandic,214,Moira,Damage,3VS3,1767
317,30,Male,Belarusian,823,Doomfist,Tank,Mayhem,1842
318,23,Male,Polish,637,Ana,Tank,3VS3,1869
319,28,Male,Turkish,310,Brigitte,Damage,Ranked,1825
320,24,Male,English,644,Orisa,Healer,Ranked,2131
321,32,Female,Slovenian,953,Junkrat,Damage,Solo,1844
322,22,Male,Hebrew,1217,Wrecking,Healer,CTF,1236
323,16,Male,Icelandic,416,Mei,Tank,Quick,1953
324,25,Male,Korean,469,Winston,Damage,CTF,1749
325,17,Male,Kuanyama,1205,Genji,Damage,CTF,1736
326,29,Other,Bosnian,1291,Widowmaker,Healer,CTF,1968
327,21,Other,Bosnian,844,Pharah,Damage,CTF,1941
328,30,Male,Croatian,986,D.Va,Damage,Mayhem,1023
329,25,Male,Italian,1195,Orisa,Healer,Solo,1789
330,39,Male,Mongolian,100,Lucio,Tank,Solo,1491
331,26,Male,Italian,914,Sombra,Healer,3VS3,1672
332,29,Male,Finnish,765,Mercy,Damage,Mayhem,2787
333,34,Male,Irish,1019,D.Va,Tank,Ranked,2023
334,23,Male,Serbian,1109,Symmetra,Tank,Ranked,2389
335,32,Male,Korean,894,Bastion,Tank,Mayhem,1553
336,21,Male,Irish,811,Sombra,Damage,3VS3,1023
337,24,Male,Kuanyama,116,Reaper,Healer,Quick,1734
338,25,Male,Italian,11,Wrecking,Tank,Quick,674
339,22,Male,Norwegian,258,Echo,Healer,3VS3,2217
340,30,Male,Arabic,430,Tracer,Healer,CTF,1352
341,25,Other,Albanian,512,Tracer,Tank,CTF,1585
342,20,Male,Greek,152,Hanzo,Damage,3VS3,1908
343,24,Male,Danish,690,Reaper,Healer,Quick,2817
344,24,Male,French,181,Brigitte,Tank,3VS3,1188
345,24,Male,Bosnian,503,Lucio,Tank,Quick,1994
346,38,Male,Greek,323,Ana,Healer,Quick,1971
347,24,Male,Catalan,170,Reinhardt,Healer,Mayhem,2308
348,32,Male,Vietnamese,439,Moira,Tank,Quick,2067
349,18,Male,Estonian,1341,Reinhardt,Damage,3VS3,2710
350,25,Female,Danish,1007,Soldier,Damage,3VS3,1721
351,36,Male,Malagasy,1189,Echo,Tank,Solo,2473
352,23,Male,Latvian,1231,McCree,Healer,Quick,1273
353,26,Male,Slovenian,211,Lucio,Damage,3VS3,2541
354,31,Male,Turkish,252,Winston,Tank,Ranked,1610
355,18,Male,Croatian,1170,Ashe,Tank,Ranked,2355
356,18,Male,Italian,287,Brigitte,Tank,Mayhem,1736
357,21,Female,French,670,Reaper,Damage,Quick,765
358,15,Other,Albanian,1340,Mercy,Tank,Ranked,937
359,28,Female,Dutch,105,Soldier,Damage,Solo,1969
360,39,Female,Maltese,1231,Sombra,Damage,Quick,1915
361,42,Other,Thai,956,Torbjorn,Tank,3VS3,2337
362,20,Female,Latvian,718,Mercy,Damage,Solo,1470
363,19,Male,Croatian,512,Baptiste,Healer,Mayhem,1497
364,16,Female,French,1337,Tracer,Damage,Quick,1450
365,17,Other,Russian,1099,Sombra,Damage,Solo,2111
366,24,Male,Romanian,1268,Soldier,Damage,Mayhem,2463
367,24,Male,Serbian,698,Mei,Tank,Ranked,2224
368,31,Female,Armenian,1128,Tracer,Healer,Mayhem,1261
369,26,Other,Swedish,230,Pharah,Tank,Solo,2220
370,22,Female,Lithuanian,993,Soldier,Damage,Quick,1989
371,29,Female,Maltese,244,Sigma,Healer,CTF,1692
372,20,Male,Albanian,998,Echo,Tank,CTF,1711
373,32,Male,Albanian,1365,Widowmaker,Damage,3VS3,2391
374,21,Male,Hebrew,771,Doomfist,Damage,Ranked,1214
375,21,Female,Kuanyama,432,Reinhardt,Healer,Mayhem,1722
376,22,Male,Chinese,1231,Wrecking,Damage,Mayhem,2483
377,27,Male,Danish,262,Reinhardt,Healer,Quick,1881
378,38,Male,Hindi,1401,Soldier,Tank,3VS3,1460
379,22,Female,Malagasy,1094,Ana,Healer,Quick,2572
380,30,Male,Malagasy,1234,Baptiste,Healer,3VS3,1618
381,29,Other,Swedish,780,McCree,Damage,Quick,2210
382,22,Male,Serbian,703,Ashe,Damage,Solo,1340
383,34,Male,Arabic,308,Ashe,Tank,CTF,2090
384,33,Male,Greek,230,Mercy,Tank,Ranked,1420
385,25,Female,Belarusian,778,Hanzo,Healer,Mayhem,2593
386,20,Male,Chinese,526,Reaper,Tank,Solo,1165
387,19,Male,Vietnamese,1047,Moira,Tank,3VS3,1670
388,20,Male,Belarusian,261,Brigitte,Healer,3VS3,1949
389,30,Male,Finnish,531,Wrecking,Damage,Mayhem,1465
390,27,Male,Ukrainian,1430,Ana,Damage,CTF,1135
391,24,Male,Belarusian,281,Roadhog,Tank,CTF,1567
392,27,Female,Serbian,200,Winston,Damage,Mayhem,2665
393,33,Male,Afrikaans,597,Mercy,Healer,Quick,1513
394,37,Male,Bulgarian,1282,Pharah,Healer,Solo,1449
395,36,Male,Bosnian,1013,Mei,Healer,Mayhem,1923
396,34,Female,Norwegian,153,Ashe,Damage,CTF,1598
397,33,Male,Ukrainian,84,Tracer,Healer,Mayhem,2139
398,19,Male,Serbian,1288,Brigitte,Healer,3VS3,892
399,10,Male,English,769,Soldier,Damage,Quick,1198
400,35,Male,English,1183,Roadhog,Damage,Solo,1994
401,27,Male,Swedish,203,D.Va,Healer,Mayhem,2480
402,44,Female,Slovenian,1108,Zarya,Damage,Solo,963
403,21,Male,Irish,1236,Symmetra,Healer,Ranked,2651
404,28,Male,Romanian,542,McCree,Tank,Mayhem,1678
405,30,Male,Indonesian,979,Baptiste,Tank,Ranked,3232
406,22,Male,Bosnian,333,Baptiste,Damage,3VS3,1482
407,32,Male,Japanese,1086,Zenyatta,Tank,CTF,1032
408,29,Female,English,304,Symmetra,Damage,Quick,1395
409,28,Male,Lithuanian,578,Winston,Tank,Mayhem,1773
410,25,Male,Malagasy,858,Mei,Tank,CTF,1659
411,22,Male,Arabic,50,Orisa,Damage,3VS3,1116
412,27,Male,Yoruba,1117,Moira,Damage,3VS3,2342
413,32,Other,Belarusian,1337,Pharah,Tank,3VS3,1520
414,38,Male,Serbian,1106,D.Va,Damage,Quick,1476
415,24,Male,Maltese,834,Brigitte,Healer,Solo,1913
416,30,Female,Hindi,1344,Reaper,Healer,CTF,1484
417,22,Male,Portuguese,254,Brigitte,Damage,Mayhem,1233
418,25,Female,Japanese,504,Mei,Damage,Ranked,1578
419,34,Other,Kuanyama,302,Symmetra,Damage,Quick,1743
420,25,Other,English,455,Hanzo,Tank,CTF,1726
421,24,Male,Marshallese,254,Lucio,Tank,Solo,1240
422,26,Female,Korean,303,Mercy,Healer,Mayhem,2101
423,27,Male,Estonian,1241,Widowmaker,Healer,Quick,2154
424,30,Male,Malagasy,1045,Zenyatta,Healer,Quick,2013
425,32,Female,Malagasy,142,Zarya,Healer,Solo,2936
426,21,Male,Belarusian,752,Wrecking,Tank,Ranked,589
427,33,Male,Vietnamese,412,Mercy,Damage,Mayhem,1382
428,19,Female,Ganda,1016,Sombra,Tank,Quick,2120
429,32,Male,German,1198,Hanzo,Tank,Quick,1952
430,25,Female,Marshallese,1335,Doomfist,Tank,Mayhem,2487
431,23,Male,Polish,940,Ana,Tank,Solo,2017
432,32,Male,Norwegian,1351,Reinhardt,Tank,Quick,923
433,34,Male,Slovenian,156,Mei,Healer,CTF,1677
434,30,Male,Marshallese,917,Ashe,Damage,Ranked,2410
435,16,Male,Korean,185,Orisa,Damage,Solo,1313
436,26,Male,Serbian,1089,Echo,Damage,Solo,1593
437,24,Male,English,1292,Sombra,Damage,Ranked,2269
438,32,Female,Turkish,308,Brigitte,Tank,Ranked,2212
439,24,Male,Dutch,941,Pharah,Tank,Solo,1697
440,15,Male,Mongolian,798,Genji,Tank,3VS3,1731
441,23,Male,Spanish,792,Brigitte,Tank,Mayhem,1194
442,27,Female,English,773,D.Va,Tank,Mayhem,891
443,28,Male,Indonesian,865,Junkrat,Healer,Mayhem,1527
444,15,Male,Estonian,1198,Ana,Damage,Ranked,1892
445,35,Male,Maltese,677,Mei,Tank,Ranked,2791
